Date,C,H,L,O,V
2013-10-08,2.6305999755859375,2.6570000648498535,2.621799945831299,2.631200075149536,49277
2013-10-09,2.622999906539917,2.6535000801086426,2.5950000286102295,2.6364998817443848,57725
2013-10-10,2.6981000900268555,2.7083001136779785,2.619499921798706,2.622999906539917,70694
2013-10-11,2.668100118637085,2.6930999755859375,2.6522998809814453,2.692500114440918,55735
2013-10-14,2.666800022125244,2.677500009536743,2.6266000270843506,2.6614999771118164,38244
2013-10-15,2.6598000526428223,2.6796998977661133,2.6482999324798584,2.6624999046325684,43084
2013-10-16,2.7021000385284424,2.7239999771118164,2.6549999713897705,2.6577000617980957,48161
2013-10-17,2.647900104522705,2.7088000774383545,2.634399890899658,2.700500011444092,49680
2013-10-18,2.6731998920440674,2.680000066757202,2.6377999782562256,2.6458001136779785,36743
2013-10-21,2.6538000106811523,2.684000015258789,2.6517999172210693,2.6710000038146973,24159
2013-10-22,2.6166999340057373,2.679500102996826,2.614000082015991,2.6552000045776367,38283
2013-10-23,2.552299976348877,2.6219000816345215,2.548799991607666,2.619499921798706,31777
2013-10-24,2.589600086212158,2.5908000469207764,2.541800022125244,2.550299882888794,39818
2013-10-25,2.587100028991699,2.595599889755249,2.5601999759674072,2.5836000442504883,24903
2013-10-28,2.6308999061584473,2.6463000774383545,2.5845999717712402,2.590399980545044,26208
2013-10-29,2.609800100326538,2.6319000720977783,2.593600034713745,2.63100004196167,26343
2013-10-30,2.6507999897003174,2.6559998989105225,2.6050000190734863,2.6050000190734863,32884
2013-10-31,2.633699893951416,2.6484999656677246,2.610300064086914,2.640899896621704,48194
2013-11-01,2.5453999042510986,2.599600076675415,2.5346999168395996,2.5969998836517334,55119
2013-11-04,2.5281999111175537,2.5541999340057373,2.5153000354766846,2.5429000854492188,58607
2013-11-05,2.5160999298095703,2.5416998863220215,2.5137999057769775,2.52839994430542,56426
2013-11-06,2.5480000972747803,2.572000026702881,2.5344998836517334,2.538800001144409,74096
2013-11-07,2.5030999183654785,2.549099922180176,2.494499921798706,2.5415000915527344,76888
2013-11-08,2.5534000396728516,2.5678999423980713,2.5007998943328857,2.507499933242798,62445
2013-11-11,2.5964999198913574,2.6085000038146973,2.5485999584198,2.5485999584198,51065
2013-11-12,2.586400032043457,2.634000062942505,2.571700096130371,2.6059999465942383,56146
2013-11-13,2.628000020980835,2.6440000534057617,2.586400032043457,2.59060001373291,57519
2013-11-14,2.6837000846862793,2.7147998809814453,2.6340999603271484,2.6340999603271484,66984
2013-11-15,2.6577000617980957,2.6967999935150146,2.6410999298095703,2.6851999759674072,58023
2013-11-18,2.6568000316619873,2.671299934387207,2.620800018310547,2.658400058746338,42568
2013-11-19,2.6394999027252197,2.6786999702453613,2.63070011138916,2.651099920272827,42701
2013-11-20,2.6630001068115234,2.6730000972747803,2.6201000213623047,2.6361000537872314,39305
2013-11-21,2.743799924850464,2.746000051498413,2.6575000286102295,2.6594998836517334,39402
2013-11-22,2.726099967956543,2.7676000595092773,2.7172999382019043,2.736799955368042,39598
2013-11-25,2.6807000637054443,2.7139999866485596,2.6598000526428223,2.7139999866485596,42732
2013-11-26,2.6868999004364014,2.6965999603271484,2.6731998920440674,2.677299976348877,36159
2013-11-27,2.6982998847961426,2.7128000259399414,2.6761999130249023,2.694999933242798,25214
2013-11-29,2.6840999126434326,2.707200050354004,2.6624999046325684,2.704699993133545,25260
2013-12-02,2.6784000396728516,2.7200000286102295,2.658600091934204,2.6640000343322754,51088
2013-12-03,2.7237000465393066,2.738100051879883,2.678100109100342,2.678800106048584,53549
